stroke_amplitude,right_stroke_vel,right_motor_torque,right_motor_current,right_motor_voltage,right_motor_output_power,right_motor_efficiency_1,motor_efficiency,time
-1.053120858,3.290622793,0.0018143,1.18901289,14.80131136,0.047761421,0.003888272,0.002713879,0.025
-1.050966191,10.77333554,0.001815737,1.194015693,14.99421543,0.156492332,0.012566235,0.008740963,0.0252
-1.047318044,18.24073858,0.001816792,1.198578322,15.18139358,0.265117039,0.021014038,0.014570001,0.0254
-1.042181599,25.68222028,0.00181846,1.203263112,15.36963318,0.373616752,0.029224548,0.020202366,0.0256
-1.035564158,33.08720668,0.001820712,1.208048078,15.55847666,0.481938103,0.037193904,0.025641296,0.0258
-1.027475059,40.44549353,0.00183609,1.220102274,15.83664184,0.594092433,0.044666897,0.03074643,0.026
-1.017925868,47.74595671,0.001857152,1.235148298,16.15089439,0.709372101,0.051703359,0.035559727,0.0262
-1.006930153,54.97857319,0.001880344,1.251171131,16.47607277,0.827029234,0.058360433,0.040119032,0.0264
-0.994503541,62.13306344,0.001902685,1.266456278,16.79073743,0.945757228,0.064718991,0.044475383,0.0266
-0.980663689,69.19925983,0.001923035,1.280349407,17.08659685,1.06458101,0.070831203,0.048662525,0.0268
-0.965430264,76.16712286,0.001949862,1.297685157,17.42342497,1.188122733,0.076456209,0.052548272,0.027
-0.948824914,83.02675236,0.001997169,1.326463651,17.90025016,1.326547422,0.081121821,0.055868669,0.0272
-0.930871234,89.76839875,0.002067361,1.368056337,18.53390786,1.484669723,0.084710105,0.05855431,0.0274
-0.911594738,96.3824808,0.002155914,1.419875187,19.29213894,1.662338804,0.087376865,0.060686067,0.0276
-0.891022818,102.8595991,0.002260458,1.480564883,20.15797309,1.860078626,0.089243523,0.062324241,0.0278
-0.869184708,109.1905484,0.002373562,1.545877407,21.07857386,2.073364332,0.090598824,0.063629623,0.028
-0.846111442,115.3663315,0.002482761,1.608689197,21.96545175,2.291416219,0.091858147,0.06484727,0.0282
-0.821835808,121.3781706,0.002568887,1.658046295,22.68262415,2.494454144,0.093589264,0.06632627,0.0284
-0.796392304,127.2175218,0.002607687,1.68008991,23.05809263,2.653947444,0.09649444,0.068507231,0.0286
-0.769817065,132.8761945,0.00267042,1.715541935,23.59666539,2.838681815,0.098486179,0.070123687,0.0288
-0.742147955,138.3455509,0.002669391,1.714277039,23.67663729,2.954387379,0.102193651,0.07278911,0.029
-0.713424208,143.6187302,0.002491581,1.611744117,22.49745462,2.862701849,0.111649411,0.078949001,0.0292
-0.683686641,148.6878368,0.00155935,1.077838244,15.9656782,1.854851019,0.162879644,0.107787419,0.0294
-0.652977511,153.5456495,0.002135039,1.405335481,20.11160493,2.622608001,0.133527134,0.092791168,0.0296
-0.621340461,158.1852509,0.002189407,1.434670969,20.55650954,2.77065511,0.134584595,0.093946539,0.0298
-0.588820449,162.6000606,0.002240866,1.462083672,20.97364011,2.914919325,0.135589366,0.095056211,0.03
-0.555463688,166.7838052,0.002288863,1.487260402,21.35900339,3.053962616,0.136568844,0.09613814,0.0302
-0.52131758,170.7305394,0.002332842,1.509885691,21.70858358,3.186298589,0.137549325,0.097209993,0.0304
-0.486430649,174.434655,0.002372264,1.529656022,22.01851902,3.31044003,0.138555384,0.098288756,0.0306
-0.450852471,177.8908882,0.002406618,1.546283393,22.2851464,3.42492395,0.139610136,0.099390837,0.0308
-0.414633606,181.0943279,0.002435406,1.559486647,22.50489349,3.528306284,0.140736461,0.100532772,0.031
-0.377825521,184.0404217,0.002458171,1.569009601,22.67450398,3.619222888,0.141956134,0.101730677,0.0312
-0.340480525,186.7249832,0.002474485,1.574612657,22.79093366,3.696385105,0.143291045,0.10300098,0.0314
-0.302651685,189.1441976,0.002483959,1.576078911,22.85142619,3.758610713,0.144763292,0.104360483,0.0316
-0.26439276,191.2946272,0.002486244,1.573215047,22.85352433,3.804841114,0.146395702,0.105826699,0.0318
-0.225758117,193.1732161,0.002481041,1.565855359,22.79511989,3.834165759,0.148212137,0.107418074,0.032
-0.186802658,194.7772949,0.002468093,1.553859014,22.67441982,3.845827217,0.150238378,0.109154583,0.0322
-0.147581741,196.1045841,0.002447188,1.537112423,22.4899758,3.839238189,0.152502687,0.11105815,0.0324
-0.108151101,197.1531975,0.002418166,1.515530479,22.24069948,3.813993869,0.15503656,0.113153209,0.0326
-0.068566772,197.9216452,0.002380914,1.489055268,21.92584666,3.769875546,0.157875835,0.115467516,0.0328
-0.028885005,198.4088351,0.002335359,1.457652925,21.54497834,3.706846963,0.161062221,0.118033277,0.033
0.01083781,198.6140749,0.002281474,1.421315649,21.09798567,3.625062991,0.164644705,0.120888232,0.0332
0.050545225,198.5370768,0.002219279,1.380062413,20.58509889,3.524872735,0.168681481,0.124077135,0.0334
0.090180814,198.1779423,0.002148826,1.333931774,20.00679786,3.406799703,0.173243309,0.127654285,0.0336
0.129688251,197.5371859,0.002070221,1.282992015,19.3639383,3.271565718,0.178416047,0.131685515,0.0338
0.169011394,196.6157183,0.001983604,1.227331331,18.65762976,3.120061327,0.184306437,0.136252613,0.034
0.208094357,195.4148111,0.00188918,1.167075762,17.88945738,2.95338949,0.191046484,0.141457021,0.0342
0.246881607,193.9362519,0.00178712,1.10233437,17.06080478,2.772699227,0.198809999,0.147431369,0.0344
0.285318027,192.1820981,0.001677775,1.033313208,16.174263,2.579505823,0.207810348,0.154340546,0.0346
0.323348995,190.1548425,0.001561443,0.960194434,15.2321344,2.375328268,0.218336008,0.162406606,0.0348
0.360920468,187.857366,0.001438508,0.883205212,14.23728621,2.161874672,0.230770214,0.171926046,0.035
0.397979055,185.2929335,0.00130939,0.802595822,13.192879,1.940965061,0.245639394,0.183307926,0.0352
0.434472085,182.465151,0.001174584,0.718658697,12.10260198,1.714565353,0.263681657,0.197129948,0.0354
0.470347709,179.3781208,0.001034541,0.631662874,10.969863,1.484592193,0.28598747,0.214249894,0.0356
0.505554946,176.0361834,0.000889892,0.541976587,9.799304047,1.253225448,0.314185003,0.235968182,0.0358
